Quarter,NetIncome,Z-Score,Anomaly,RiskScore,RiskLevel
2022-Q1,3788000000,-0.6582075064903462,False,13.164150129806924,Low Risk
2022-Q2,3142000000,-1.3783803491598114,False,27.567606983196228,Low Risk
2022-Q3,3592000000,-0.8767119603033728,False,17.534239206067458,Low Risk
2022-Q4,3155000000,-1.3638877068150699,False,27.277754136301397,Low Risk
2023-Q1,4991000000,0.6829193197191997,False,13.658386394383994,Low Risk
2023-Q2,4938000000,0.6238339316983302,False,12.476678633966605,Low Risk
2023-Q3,5767000000,1.5480185858360804,False,30.96037171672161,Low Risk
2023-Q4,3446000000,-1.0394754820212395,False,20.78950964042479,Low Risk
2024-Q1,4619000000,0.2682067849312104,False,5.364135698624208,Low Risk
2024-Q2,4910000000,0.5926190097250408,False,11.852380194500816,Low Risk
2024-Q3,5114000000,0.8200420126732929,False,16.40084025346586,Low Risk
2024-Q4,5079000000,0.7810233602066811,False,15.620467204133622,Low Risk
